Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub01,sub02,6000,0.018253538801332972,brain_loss,VC,1.0
sub01,sub02,6000,0.042995949514531166,brain_loss,VC,2.0
sub01,sub02,6000,0.044235670301174174,brain_loss,VC,3.0
sub01,sub02,6000,0.02891658641683808,brain_loss,VC,4.0
sub01,sub02,6000,0.023928039460552514,brain_loss,VC,5.0
sub01,sub02,6000,0.01682751186147906,brain_loss,VC,6.0
sub01,sub02,6000,0.015247393539567559,brain_loss,VC,7.0
sub01,sub02,6000,0.015435574965179555,brain_loss,VC,8.0
sub01,sub02,6000,0.027259242345031832,brain_loss,VC,9.0
sub01,sub02,6000,0.021731879579619796,brain_loss,VC,10.0
sub01,sub02,6000,0.032352307720688776,brain_loss,VC,11.0
sub01,sub02,6000,0.019181429729683966,brain_loss,VC,12.0
sub01,sub02,6000,0.025280756594353145,brain_loss,VC,13.0
sub01,sub02,6000,0.026415244979851864,brain_loss,VC,14.0
sub01,sub02,6000,0.043992735508738175,brain_loss,VC,15.0
sub01,sub02,6000,0.07576184658023156,brain_loss,VC,16.0
sub01,sub02,6000,0.018058621946845148,brain_loss,VC,17.0
sub01,sub02,6000,0.03191963272515744,brain_loss,VC,18.0
sub01,sub02,6000,0.017880655459186972,brain_loss,VC,19.0
sub01,sub02,6000,0.01862536901986235,brain_loss,VC,20.0
sub01,sub02,6000,0.029334090431262092,brain_loss,VC,21.0
sub01,sub02,6000,0.047854054846732864,brain_loss,VC,22.0
sub01,sub02,6000,0.02487475646778275,brain_loss,VC,23.0
sub01,sub02,6000,0.014382712759054105,brain_loss,VC,24.0
sub01,sub02,6000,0.01689201386883986,brain_loss,VC,25.0
sub01,sub02,6000,0.020332034218072913,brain_loss,VC,26.0
sub01,sub02,6000,0.034473720249424585,brain_loss,VC,27.0
sub01,sub02,6000,0.03350224293213737,brain_loss,VC,28.0
sub01,sub02,6000,0.028926064825434066,brain_loss,VC,29.0
sub01,sub02,6000,0.018296666157861168,brain_loss,VC,30.0
sub01,sub02,6000,0.01805604326984133,brain_loss,VC,31.0
sub01,sub02,6000,0.030243855491958255,brain_loss,VC,32.0
sub01,sub02,6000,0.019590855154973115,brain_loss,VC,33.0
sub01,sub02,6000,0.016740156113372647,brain_loss,VC,34.0
sub01,sub02,6000,0.012947265855239427,brain_loss,VC,35.0
sub01,sub02,6000,0.029274133228049337,brain_loss,VC,36.0
sub01,sub02,6000,0.09662268236937284,brain_loss,VC,37.0
sub01,sub02,6000,0.033078223528817,brain_loss,VC,38.0
sub01,sub02,6000,0.0193586723475194,brain_loss,VC,39.0
sub01,sub02,6000,0.01619391687411373,brain_loss,VC,40.0
sub01,sub02,6000,0.015520664049193713,brain_loss,VC,41.0
sub01,sub02,6000,0.03366552851384003,brain_loss,VC,42.0
sub01,sub02,6000,0.028499420258898282,brain_loss,VC,43.0
sub01,sub02,6000,0.018239923836091368,brain_loss,VC,44.0
sub01,sub02,6000,0.06840322310151577,brain_loss,VC,45.0
sub01,sub02,6000,0.026496462130142034,brain_loss,VC,46.0
sub01,sub02,6000,0.021499265243210372,brain_loss,VC,47.0
sub01,sub02,6000,0.030260209505175342,brain_loss,VC,48.0
sub01,sub02,6000,0.015858096368173702,brain_loss,VC,49.0
sub01,sub02,6000,0.030555239435339925,brain_loss,VC,50.0
sub01,sub02,6000,0.030747220803752646,brain_loss,V1,1.0
sub01,sub02,6000,0.05111217900599893,brain_loss,V1,2.0
sub01,sub02,6000,0.05912407199947743,brain_loss,V1,3.0
sub01,sub02,6000,0.035665943516079275,brain_loss,V1,4.0
sub01,sub02,6000,0.030685830645220395,brain_loss,V1,5.0
sub01,sub02,6000,0.02513466045691252,brain_loss,V1,6.0
sub01,sub02,6000,0.025077270992428104,brain_loss,V1,7.0
sub01,sub02,6000,0.022602781028982527,brain_loss,V1,8.0
sub01,sub02,6000,0.02995040155882285,brain_loss,V1,9.0
sub01,sub02,6000,0.029919462457159294,brain_loss,V1,10.0
sub01,sub02,6000,0.061679366375310934,brain_loss,V1,11.0
sub01,sub02,6000,0.03919233720787101,brain_loss,V1,12.0
sub01,sub02,6000,0.01469456743739109,brain_loss,V1,13.0
sub01,sub02,6000,0.044001180110559264,brain_loss,V1,14.0
sub01,sub02,6000,0.05555679638546272,brain_loss,V1,15.0
sub01,sub02,6000,0.12998365520425453,brain_loss,V1,16.0
sub01,sub02,6000,0.019779632828079912,brain_loss,V1,17.0
sub01,sub02,6000,0.04743894662746506,brain_loss,V1,18.0
sub01,sub02,6000,0.022202932980456128,brain_loss,V1,19.0
sub01,sub02,6000,0.030513089265840534,brain_loss,V1,20.0
sub01,sub02,6000,0.07051761269349582,brain_loss,V1,21.0
sub01,sub02,6000,0.050819124393875176,brain_loss,V1,22.0
sub01,sub02,6000,0.036896157835415354,brain_loss,V1,23.0
sub01,sub02,6000,0.021143848480895806,brain_loss,V1,24.0
sub01,sub02,6000,0.026904437869009024,brain_loss,V1,25.0
sub01,sub02,6000,0.034672660471099036,brain_loss,V1,26.0
sub01,sub02,6000,0.03490573839100031,brain_loss,V1,27.0
sub01,sub02,6000,0.06814365287346484,brain_loss,V1,28.0
sub01,sub02,6000,0.05639975834430048,brain_loss,V1,29.0
sub01,sub02,6000,0.017081975958788173,brain_loss,V1,30.0
sub01,sub02,6000,0.019256498878456114,brain_loss,V1,31.0
sub01,sub02,6000,0.03186742337877146,brain_loss,V1,32.0
sub01,sub02,6000,0.02142053033870582,brain_loss,V1,33.0
sub01,sub02,6000,0.02986809849970604,brain_loss,V1,34.0
sub01,sub02,6000,0.022615030061820276,brain_loss,V1,35.0
sub01,sub02,6000,0.040545249498371336,brain_loss,V1,36.0
sub01,sub02,6000,0.17151511578600628,brain_loss,V1,37.0
sub01,sub02,6000,0.02846462781923431,brain_loss,V1,38.0
sub01,sub02,6000,0.041595219398940814,brain_loss,V1,39.0
sub01,sub02,6000,0.019369478959908662,brain_loss,V1,40.0
sub01,sub02,6000,0.009478202432030966,brain_loss,V1,41.0
sub01,sub02,6000,0.057090549771056494,brain_loss,V1,42.0
sub01,sub02,6000,0.05049980914283025,brain_loss,V1,43.0
sub01,sub02,6000,0.02351451011881687,brain_loss,V1,44.0
sub01,sub02,6000,0.1012907773779977,brain_loss,V1,45.0
sub01,sub02,6000,0.04668320990602218,brain_loss,V1,46.0
sub01,sub02,6000,0.03303522654023914,brain_loss,V1,47.0
sub01,sub02,6000,0.03245006042619606,brain_loss,V1,48.0
sub01,sub02,6000,0.01760865190477251,brain_loss,V1,49.0
sub01,sub02,6000,0.0422089921769864,brain_loss,V1,50.0
sub01,sub02,6000,0.02273601877567326,brain_loss,V2,1.0
sub01,sub02,6000,0.03168415516391679,brain_loss,V2,2.0
sub01,sub02,6000,0.051260448450399336,brain_loss,V2,3.0
sub01,sub02,6000,0.027898200573155483,brain_loss,V2,4.0
sub01,sub02,6000,0.030292773956012223,brain_loss,V2,5.0
sub01,sub02,6000,0.021266247826648352,brain_loss,V2,6.0
sub01,sub02,6000,0.01404773201408744,brain_loss,V2,7.0
sub01,sub02,6000,0.014273035040455843,brain_loss,V2,8.0
sub01,sub02,6000,0.024816167482851634,brain_loss,V2,9.0
sub01,sub02,6000,0.023502614088579968,brain_loss,V2,10.0
sub01,sub02,6000,0.045972733689578535,brain_loss,V2,11.0
sub01,sub02,6000,0.0239186129982861,brain_loss,V2,12.0
sub01,sub02,6000,0.026674605816500642,brain_loss,V2,13.0
sub01,sub02,6000,0.03187845852688165,brain_loss,V2,14.0
sub01,sub02,6000,0.04571661541713312,brain_loss,V2,15.0
sub01,sub02,6000,0.1096654982914708,brain_loss,V2,16.0
sub01,sub02,6000,0.018221334190066427,brain_loss,V2,17.0
sub01,sub02,6000,0.040047479738463086,brain_loss,V2,18.0
sub01,sub02,6000,0.019161008858277883,brain_loss,V2,19.0
sub01,sub02,6000,0.022705319416110904,brain_loss,V2,20.0
sub01,sub02,6000,0.04298136160211647,brain_loss,V2,21.0
sub01,sub02,6000,0.04117693461410827,brain_loss,V2,22.0
sub01,sub02,6000,0.01951686699564019,brain_loss,V2,23.0
sub01,sub02,6000,0.020492229211585025,brain_loss,V2,24.0
sub01,sub02,6000,0.015239053105948511,brain_loss,V2,25.0
sub01,sub02,6000,0.0267265287955534,brain_loss,V2,26.0
sub01,sub02,6000,0.03364829678857319,brain_loss,V2,27.0
sub01,sub02,6000,0.04928840782343625,brain_loss,V2,28.0
sub01,sub02,6000,0.0382391505553491,brain_loss,V2,29.0
sub01,sub02,6000,0.022867875049691608,brain_loss,V2,30.0
sub01,sub02,6000,0.011658292521802747,brain_loss,V2,31.0
sub01,sub02,6000,0.024707613288478997,brain_loss,V2,32.0
sub01,sub02,6000,0.013759709678354647,brain_loss,V2,33.0
sub01,sub02,6000,0.01826267172956105,brain_loss,V2,34.0
sub01,sub02,6000,0.02008831816127418,brain_loss,V2,35.0
sub01,sub02,6000,0.03516474632811852,brain_loss,V2,36.0
sub01,sub02,6000,0.139654516793656,brain_loss,V2,37.0
sub01,sub02,6000,0.01983760663383562,brain_loss,V2,38.0
sub01,sub02,6000,0.02873448305904553,brain_loss,V2,39.0
sub01,sub02,6000,0.01745230257586612,brain_loss,V2,40.0
sub01,sub02,6000,0.009397753683245432,brain_loss,V2,41.0
sub01,sub02,6000,0.038468906889732084,brain_loss,V2,42.0
sub01,sub02,6000,0.03147267811439247,brain_loss,V2,43.0
sub01,sub02,6000,0.017039247040220907,brain_loss,V2,44.0
sub01,sub02,6000,0.08674189885292044,brain_loss,V2,45.0
sub01,sub02,6000,0.038351453473878756,brain_loss,V2,46.0
sub01,sub02,6000,0.018348534331537616,brain_loss,V2,47.0
sub01,sub02,6000,0.033581927901575985,brain_loss,V2,48.0
sub01,sub02,6000,0.011990510394837327,brain_loss,V2,49.0
sub01,sub02,6000,0.04507313783838593,brain_loss,V2,50.0
sub01,sub02,6000,0.019190662367925937,brain_loss,V3,1.0
sub01,sub02,6000,0.05204919463913746,brain_loss,V3,2.0
sub01,sub02,6000,0.06267028118607153,brain_loss,V3,3.0
sub01,sub02,6000,0.03753179884624648,brain_loss,V3,4.0
sub01,sub02,6000,0.0425071425814731,brain_loss,V3,5.0
sub01,sub02,6000,0.017005384660512594,brain_loss,V3,6.0
sub01,sub02,6000,0.012420715340420057,brain_loss,V3,7.0
sub01,sub02,6000,0.00898002195838455,brain_loss,V3,8.0
sub01,sub02,6000,0.017433223121243638,brain_loss,V3,9.0
sub01,sub02,6000,0.02409640687071132,brain_loss,V3,10.0
sub01,sub02,6000,0.03780558550431982,brain_loss,V3,11.0
sub01,sub02,6000,0.018770832529510412,brain_loss,V3,12.0
sub01,sub02,6000,0.029752066041645757,brain_loss,V3,13.0
sub01,sub02,6000,0.03088735016099709,brain_loss,V3,14.0
sub01,sub02,6000,0.03829009798140988,brain_loss,V3,15.0
sub01,sub02,6000,0.09927087232082576,brain_loss,V3,16.0
sub01,sub02,6000,0.02018646051411527,brain_loss,V3,17.0
sub01,sub02,6000,0.046374527385410175,brain_loss,V3,18.0
sub01,sub02,6000,0.02357517995900307,brain_loss,V3,19.0
sub01,sub02,6000,0.023757174737472304,brain_loss,V3,20.0
sub01,sub02,6000,0.0293260475962423,brain_loss,V3,21.0
sub01,sub02,6000,0.038759484239104,brain_loss,V3,22.0
sub01,sub02,6000,0.020694364933416268,brain_loss,V3,23.0
sub01,sub02,6000,0.020766776072523037,brain_loss,V3,24.0
sub01,sub02,6000,0.017445875562583667,brain_loss,V3,25.0
