Subject,Correlation,ROI,Image index
sub-01,0.018719646787497192,VC,1.0
sub-01,0.05055692146620662,VC,2.0
sub-01,0.021365843015487888,VC,3.0
sub-01,0.015531925199166075,VC,4.0
sub-01,0.01957191291906609,VC,5.0
sub-01,0.023959772345568425,VC,6.0
sub-01,0.025074940059542937,VC,7.0
sub-01,0.010064492630684907,VC,8.0
sub-01,0.025937132299726124,VC,9.0
sub-01,0.016515450136414526,VC,10.0
sub-01,0.015259786677378205,VC,11.0
sub-01,0.01172453798472333,VC,12.0
sub-01,0.015696989682376677,VC,13.0
sub-01,0.04753487279864655,VC,14.0
sub-01,0.02875523172622721,VC,15.0
sub-01,0.07560950618112436,VC,16.0
sub-01,0.028332130304560752,VC,17.0
sub-01,0.029687064556595328,VC,18.0
sub-01,0.008432394448513503,VC,19.0
sub-01,0.018106888507296408,VC,20.0
sub-01,0.042784553386769716,VC,21.0
sub-01,0.03937102300677705,VC,22.0
sub-01,0.02318731976983764,VC,23.0
sub-01,0.01410773715752048,VC,24.0
sub-01,0.020613713895918477,VC,25.0
sub-01,0.017657799767799846,VC,26.0
sub-01,0.033794833969564196,VC,27.0
sub-01,0.045356119347890064,VC,28.0
sub-01,0.02776039511686367,VC,29.0
sub-01,0.03209795943420117,VC,30.0
sub-01,0.045651912123327525,VC,31.0
sub-01,0.03504929516189419,VC,32.0
sub-01,0.021146202862562115,VC,33.0
sub-01,0.023111536063292602,VC,34.0
sub-01,0.010211572821846213,VC,35.0
sub-01,0.025554596742034516,VC,36.0
sub-01,0.08408650568536037,VC,37.0
sub-01,0.02550174578568775,VC,38.0
sub-01,0.028292714917567373,VC,39.0
sub-01,0.035881818171696986,VC,40.0
sub-01,0.0076609760774739785,VC,41.0
sub-01,0.03291090177063098,VC,42.0
sub-01,0.030822963702796486,VC,43.0
sub-01,0.02396469311358358,VC,44.0
sub-01,0.040078389417357904,VC,45.0
sub-01,0.026332236539192585,VC,46.0
sub-01,0.014072238779064078,VC,47.0
sub-01,0.025954251420588985,VC,48.0
sub-01,0.041112409763796834,VC,49.0
sub-01,0.02642856373304494,VC,50.0
sub-01,0.020771070363548676,V1,1.0
sub-01,0.06220044783762146,V1,2.0
sub-01,0.03442932378462441,V1,3.0
sub-01,0.030926796773235777,V1,4.0
sub-01,0.0314940477126909,V1,5.0
sub-01,0.021671879102633615,V1,6.0
sub-01,0.040235254300517616,V1,7.0
sub-01,0.02099088528392738,V1,8.0
sub-01,0.029794991055613753,V1,9.0
sub-01,0.023685178666923847,V1,10.0
sub-01,0.023859961129581102,V1,11.0
sub-01,0.03181058579225586,V1,12.0
sub-01,0.010647065348295326,V1,13.0
sub-01,0.06615054549285655,V1,14.0
sub-01,0.034314844300693405,V1,15.0
sub-01,0.1272435909979292,V1,16.0
sub-01,0.039805038319561364,V1,17.0
sub-01,0.06528900644195855,V1,18.0
sub-01,0.0039306629186993325,V1,19.0
sub-01,0.03346768686755291,V1,20.0
sub-01,0.06963574203992312,V1,21.0
sub-01,0.03505184807128784,V1,22.0
sub-01,0.04028047892056697,V1,23.0
sub-01,0.022681006615551502,V1,24.0
sub-01,0.027623387803419632,V1,25.0
sub-01,0.020211777913984662,V1,26.0
sub-01,0.042171393620518055,V1,27.0
sub-01,0.05174186783667289,V1,28.0
sub-01,0.04532518247863631,V1,29.0
sub-01,0.03776441826227274,V1,30.0
sub-01,0.05539146417024271,V1,31.0
sub-01,0.032126275428180466,V1,32.0
sub-01,0.0327292547352213,V1,33.0
sub-01,0.037289833044220524,V1,34.0
sub-01,0.020528830099583128,V1,35.0
sub-01,0.04649360322856985,V1,36.0
sub-01,0.1365814744234978,V1,37.0
sub-01,0.025913879985120042,V1,38.0
sub-01,0.03822643313651293,V1,39.0
sub-01,0.04966537445926394,V1,40.0
sub-01,0.0035249131106789284,V1,41.0
sub-01,0.05585178385021449,V1,42.0
sub-01,0.061553695954556314,V1,43.0
sub-01,0.017491217095421556,V1,44.0
sub-01,0.056715442074514344,V1,45.0
sub-01,0.05230581915288899,V1,46.0
sub-01,0.023101716182363244,V1,47.0
sub-01,0.028917155358639115,V1,48.0
sub-01,0.05190448647719351,V1,49.0
sub-01,0.047363171937203775,V1,50.0
sub-01,0.02301147168036324,V2,1.0
sub-01,0.06282090422646122,V2,2.0
sub-01,0.038180172491772926,V2,3.0
sub-01,0.018061262058350076,V2,4.0
sub-01,0.027332635254481874,V2,5.0
sub-01,0.031785871164834036,V2,6.0
sub-01,0.03746942135153855,V2,7.0
sub-01,0.01628779160550971,V2,8.0
sub-01,0.037901314278908874,V2,9.0
sub-01,0.028411906524955195,V2,10.0
sub-01,0.02669148149091884,V2,11.0
sub-01,0.014799407961201909,V2,12.0
sub-01,0.02337019918332321,V2,13.0
sub-01,0.06474265072439854,V2,14.0
sub-01,0.030336690243355606,V2,15.0
sub-01,0.16390586105859395,V2,16.0
sub-01,0.03930686907222967,V2,17.0
sub-01,0.04773785577681001,V2,18.0
sub-01,0.009255687186698459,V2,19.0
sub-01,0.023126217180392972,V2,20.0
sub-01,0.07309639412547772,V2,21.0
sub-01,0.046184578203853244,V2,22.0
sub-01,0.03785930915090892,V2,23.0
sub-01,0.017936303843918554,V2,24.0
sub-01,0.034634768878508436,V2,25.0
sub-01,0.025693244943520568,V2,26.0
sub-01,0.05289102321306793,V2,27.0
sub-01,0.07558106324530316,V2,28.0
sub-01,0.048941299636915625,V2,29.0
sub-01,0.046774304170598135,V2,30.0
sub-01,0.06686208329032413,V2,31.0
sub-01,0.04040691114946714,V2,32.0
sub-01,0.029371373053253196,V2,33.0
sub-01,0.04133217498163055,V2,34.0
sub-01,0.02604921255015978,V2,35.0
sub-01,0.04830079116007331,V2,36.0
sub-01,0.15671407263264672,V2,37.0
sub-01,0.028924575201940073,V2,38.0
sub-01,0.045701000559665084,V2,39.0
sub-01,0.06012371003153537,V2,40.0
sub-01,0.010359710907207,V2,41.0
sub-01,0.043229538631998514,V2,42.0
sub-01,0.04764274221774376,V2,43.0
sub-01,0.025110492110700964,V2,44.0
sub-01,0.058664741383162036,V2,45.0
sub-01,0.05822948351494219,V2,46.0
sub-01,0.01624807592395221,V2,47.0
sub-01,0.03495458685550495,V2,48.0
sub-01,0.05445408899769455,V2,49.0
sub-01,0.046530837399683014,V2,50.0
sub-01,0.023918855914805786,V3,1.0
sub-01,0.06612162210794868,V3,2.0
sub-01,0.03762899317766798,V3,3.0
sub-01,0.016693613667981794,V3,4.0
sub-01,0.03205734887210408,V3,5.0
sub-01,0.028646732148281232,V3,6.0
sub-01,0.03093712363265976,V3,7.0
sub-01,0.011144936091454179,V3,8.0
sub-01,0.03082225408704929,V3,9.0
sub-01,0.01929881321435694,V3,10.0
sub-01,0.022718938123083055,V3,11.0
sub-01,0.015896196301215977,V3,12.0
sub-01,0.017130025435588468,V3,13.0
sub-01,0.0700430864532134,V3,14.0
sub-01,0.03732304253120859,V3,15.0
sub-01,0.08588152909914752,V3,16.0
sub-01,0.03387716459506093,V3,17.0
sub-01,0.032531718375206395,V3,18.0
sub-01,0.018560488710738048,V3,19.0
sub-01,0.019614339539266935,V3,20.0
sub-01,0.07886432597140713,V3,21.0
sub-01,0.04522319214441819,V3,22.0
sub-01,0.02765720749871117,V3,23.0
sub-01,0.020318825626703875,V3,24.0
sub-01,0.035372921643961525,V3,25.0
sub-01,0.03414896199740137,V3,26.0
sub-01,0.03975355689007749,V3,27.0
sub-01,0.08593384876485094,V3,28.0
sub-01,0.03581315926643941,V3,29.0
sub-01,0.04410992897153998,V3,30.0
sub-01,0.06688258433861022,V3,31.0
sub-01,0.03426694575335194,V3,32.0
sub-01,0.027387197076622318,V3,33.0
sub-01,0.03586510097953008,V3,34.0
sub-01,0.014751821370095257,V3,35.0
sub-01,0.03928842041966667,V3,36.0
sub-01,0.1371697955799542,V3,37.0
sub-01,0.026725570532990118,V3,38.0
sub-01,0.04485638467462567,V3,39.0
sub-01,0.04103267223983741,V3,40.0
sub-01,0.013172244896251711,V3,41.0
sub-01,0.044826016302456105,V3,42.0
sub-01,0.03070446642177639,V3,43.0
sub-01,0.032097970653800045,V3,44.0
sub-01,0.052404576004069024,V3,45.0
sub-01,0.044594097083198954,V3,46.0
sub-01,0.0106008618140177,V3,47.0
sub-01,0.030225465772806957,V3,48.0
sub-01,0.06270679939453169,V3,49.0
sub-01,0.03488546403700212,V3,50.0
sub-01,0.014147165323442687,V4,1.0
sub-01,0.04831896887303532,V4,2.0
sub-01,0.01522416621778667,V4,3.0
sub-01,0.007936411177934111,V4,4.0
sub-01,0.011227462675066737,V4,5.0
sub-01,0.021836718738852505,V4,6.0
sub-01,0.015372397473356282,V4,7.0
sub-01,0.011129934271526221,V4,8.0
sub-01,0.020083402594598905,V4,9.0
sub-01,0.011753943485927124,V4,10.0
sub-01,0.005033436869420471,V4,11.0
sub-01,0.011642941272023088,V4,12.0
sub-01,0.012859472909741114,V4,13.0
sub-01,0.04498703323670764,V4,14.0
sub-01,0.020134421739998833,V4,15.0
sub-01,0.03585911466620184,V4,16.0
sub-01,0.018392898250572755,V4,17.0
sub-01,0.012315698814171331,V4,18.0
sub-01,0.019034850797390982,V4,19.0
sub-01,0.009328487145666876,V4,20.0
sub-01,0.03321376562178814,V4,21.0
sub-01,0.022624694914341086,V4,22.0
sub-01,0.011272511270643364,V4,23.0
sub-01,0.011489089225513002,V4,24.0
sub-01,0.008111166393672948,V4,25.0
sub-01,0.01546304910505107,V4,26.0
sub-01,0.022039078853121122,V4,27.0
sub-01,0.045920262071835694,V4,28.0
sub-01,0.030213995120222825,V4,29.0
sub-01,0.02110346801470508,V4,30.0
sub-01,0.04272712333429243,V4,31.0
sub-01,0.03447463509012368,V4,32.0
sub-01,0.009583034629544688,V4,33.0
sub-01,0.014640044097916943,V4,34.0
sub-01,0.002298340584763954,V4,35.0
sub-01,0.021371903092343002,V4,36.0
sub-01,0.07485831682524031,V4,37.0
sub-01,0.023293389124361494,V4,38.0
sub-01,0.012826437474748348,V4,39.0
sub-01,0.022896615152546596,V4,40.0
sub-01,0.007438200501984958,V4,41.0
sub-01,0.02437131052154689,V4,42.0
sub-01,0.010093390805215294,V4,43.0
sub-01,0.009916347821325262,V4,44.0
sub-01,0.028495628633675996,V4,45.0
sub-01,0.0013752627817772266,V4,46.0
sub-01,0.004848754500100272,V4,47.0
sub-01,0.020565728561865986,V4,48.0
sub-01,0.020828386221354845,V4,49.0
sub-01,0.010034485986585288,V4,50.0
sub-01,0.013725300101212243,HVC,1.0
sub-01,0.03819190116479835,HVC,2.0
sub-01,0.005921733129273459,HVC,3.0
sub-01,0.009388809339246143,HVC,4.0
sub-01,0.009394625141354425,HVC,5.0
sub-01,0.019650448179036994,HVC,6.0
sub-01,0.014173647064445348,HVC,7.0
sub-01,0.0003758623856797874,HVC,8.0
sub-01,0.01853328981379895,HVC,9.0
sub-01,0.008493316575536662,HVC,10.0
sub-01,0.00825437186943454,HVC,11.0
sub-01,0.0017897759408440515,HVC,12.0
sub-01,0.01702883508260383,HVC,13.0
sub-01,0.03072580505148648,HVC,14.0
sub-01,0.025510265099308954,HVC,15.0
sub-01,0.010936705944899476,HVC,16.0
sub-01,0.01773027288036509,HVC,17.0
sub-01,0.0019582789646157236,HVC,18.0
sub-01,0.006762663600732552,HVC,19.0
sub-01,0.008252158170601407,HVC,20.0
sub-01,0.01807084744717628,HVC,21.0
sub-01,0.04007443923312887,HVC,22.0
sub-01,0.004552201044287529,HVC,23.0
sub-01,0.006516214772884805,HVC,24.0
sub-01,0.009317277054025394,HVC,25.0
sub-01,0.009692024297360732,HVC,26.0
sub-01,0.022693731667567118,HVC,27.0
sub-01,0.022096762708906405,HVC,28.0
sub-01,0.0056693186216075836,HVC,29.0
sub-01,0.02484957234635449,HVC,30.0
sub-01,0.03035958452837377,HVC,31.0
sub-01,0.03584768164349775,HVC,32.0
sub-01,0.009443400512643411,HVC,33.0
sub-01,0.009401951582618834,HVC,34.0
sub-01,-0.0009583917122142928,HVC,35.0
sub-01,0.006573747491015874,HVC,36.0
sub-01,0.011957748024237394,HVC,37.0
sub-01,0.020774214100436613,HVC,38.0
sub-01,0.013603237877563751,HVC,39.0
sub-01,0.02224363059141233,HVC,40.0
sub-01,0.007607408658723479,HVC,41.0
sub-01,0.014970209377720757,HVC,42.0
sub-01,0.014981089040335762,HVC,43.0
sub-01,0.024734665365052807,HVC,44.0
sub-01,0.01849620126711737,HVC,45.0
sub-01,-0.0016576324391111483,HVC,46.0
sub-01,0.00994141638278715,HVC,47.0
sub-01,0.021438455837129427,HVC,48.0
sub-01,0.0289597834967193,HVC,49.0
sub-01,0.0072802045769233305,HVC,50.0
sub-02,0.027892035996296704,VC,1.0
sub-02,0.05438232090256955,VC,2.0
sub-02,0.06051970404404681,VC,3.0
sub-02,0.04938876378952605,VC,4.0
sub-02,0.04253438778374017,VC,5.0
sub-02,0.03041994149587059,VC,6.0
sub-02,0.027606068795376172,VC,7.0
sub-02,0.026227300072672204,VC,8.0
sub-02,0.04433856215430923,VC,9.0
sub-02,0.025128066938246894,VC,10.0
sub-02,0.04856697432067511,VC,11.0
sub-02,0.014640880505344123,VC,12.0
sub-02,0.048683562310547934,VC,13.0
sub-02,0.027898335537922002,VC,14.0
sub-02,0.03955558380702807,VC,15.0
sub-02,0.09418671476658419,VC,16.0
sub-02,0.019722400353313716,VC,17.0
sub-02,0.05810479017737848,VC,18.0
sub-02,0.03796698973984878,VC,19.0
sub-02,0.031937699697323595,VC,20.0
sub-02,0.03558237350873658,VC,21.0
sub-02,0.05242099313240958,VC,22.0
sub-02,0.025502963712662977,VC,23.0
sub-02,0.02901523096925754,VC,24.0
sub-02,0.031038855008384967,VC,25.0
sub-02,0.03725108789444271,VC,26.0
sub-02,0.043796281081542286,VC,27.0
sub-02,0.04606801015096808,VC,28.0
sub-02,0.025884367848472912,VC,29.0
sub-02,0.04130136575289321,VC,30.0
sub-02,0.01941854357491921,VC,31.0
sub-02,0.03515185665495781,VC,32.0
sub-02,0.039197780966319526,VC,33.0
sub-02,0.023581151613372587,VC,34.0
sub-02,0.004797094740334585,VC,35.0
sub-02,0.02841527604297893,VC,36.0
sub-02,0.13011523758078863,VC,37.0
sub-02,0.03545982758574067,VC,38.0
sub-02,0.025476586268736615,VC,39.0
sub-02,0.027339031178558293,VC,40.0
sub-02,0.01813009236953471,VC,41.0
sub-02,0.04396282285381187,VC,42.0
sub-02,0.030745945017231248,VC,43.0
sub-02,0.03290112572583832,VC,44.0
sub-02,0.06165503165660588,VC,45.0
sub-02,0.04324241648366889,VC,46.0
sub-02,0.032649425745244064,VC,47.0
sub-02,0.04793550496007371,VC,48.0
sub-02,0.04627964758512701,VC,49.0
sub-02,0.033374606186571454,VC,50.0
sub-02,0.04266134412398926,V1,1.0
sub-02,0.07981464636182019,V1,2.0
sub-02,0.07769569209779054,V1,3.0
sub-02,0.0593838363907048,V1,4.0
sub-02,0.05061830158438111,V1,5.0
sub-02,0.05553424670405646,V1,6.0
sub-02,0.039790634199640317,V1,7.0
sub-02,0.04053579548038513,V1,8.0
sub-02,0.05060954384029688,V1,9.0
sub-02,0.033917079835617134,V1,10.0
sub-02,0.09186442311033757,V1,11.0
sub-02,0.030241345900947954,V1,12.0
sub-02,0.04519668484793931,V1,13.0
sub-02,0.04144343535299285,V1,14.0
sub-02,0.0442647391852282,V1,15.0
sub-02,0.14858001953411223,V1,16.0
sub-02,0.020781103645518804,V1,17.0
sub-02,0.09145140974978855,V1,18.0
sub-02,0.04274212771933982,V1,19.0
sub-02,0.047611884229523685,V1,20.0
sub-02,0.07409637525899794,V1,21.0
sub-02,0.0636143266587217,V1,22.0
sub-02,0.03579452312678381,V1,23.0
sub-02,0.04722202022004537,V1,24.0
sub-02,0.04057386974244787,V1,25.0
sub-02,0.052349782490657464,V1,26.0
sub-02,0.04994757301784354,V1,27.0
sub-02,0.08177137091673636,V1,28.0
sub-02,0.05570065992330257,V1,29.0
sub-02,0.0458477911613642,V1,30.0
sub-02,0.02397883527589978,V1,31.0
sub-02,0.028750615196963928,V1,32.0
sub-02,0.04604786316751404,V1,33.0
sub-02,0.04049652875287681,V1,34.0
sub-02,0.017266426838403518,V1,35.0
sub-02,0.036261356396318355,V1,36.0
sub-02,0.22001062525412998,V1,37.0
sub-02,0.02957081090980109,V1,38.0
sub-02,0.044404449843814676,V1,39.0
sub-02,0.03682788446514427,V1,40.0
sub-02,0.01225722413288138,V1,41.0
sub-02,0.07406456030695141,V1,42.0
sub-02,0.06109138021553832,V1,43.0
sub-02,0.04809957761173109,V1,44.0
sub-02,0.0997862279697062,V1,45.0
sub-02,0.06992987492109391,V1,46.0
sub-02,0.05953811450534696,V1,47.0
sub-02,0.0679466617824867,V1,48.0
sub-02,0.05793208150793854,V1,49.0
sub-02,0.0490292564444245,V1,50.0
sub-02,0.03282518339226627,V2,1.0
sub-02,0.04706213766251093,V2,2.0
sub-02,0.06665814234100874,V2,3.0
sub-02,0.04737916342517721,V2,4.0
sub-02,0.05003907631890387,V2,5.0
sub-02,0.036007834225908246,V2,6.0
sub-02,0.026297384822226388,V2,7.0
sub-02,0.023398341150588066,V2,8.0
sub-02,0.036164919753149734,V2,9.0
sub-02,0.024557600631109365,V2,10.0
sub-02,0.07108385859286434,V2,11.0
sub-02,0.01500579485697016,V2,12.0
sub-02,0.05935234480861671,V2,13.0
