Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub01,sub02,6000,0.5085665012640843,0.5135548811196593,0.9444897959183675,content_loss,VC,fc8
sub01,sub02,6000,0.33952372913891593,0.363415719049489,0.9775510204081636,content_loss,VC,fc7
sub01,sub02,6000,0.3778323276776558,0.37171208021339597,0.9804081632653063,content_loss,VC,fc6
sub01,sub02,6000,0.3330672447231694,0.29714641102588524,0.9877551020408164,content_loss,VC,conv5_4
sub01,sub02,6000,0.34169051144806273,0.3371641271413226,0.9955102040816327,content_loss,VC,conv5_3
sub01,sub02,6000,0.34921519707668713,0.3504320653673512,0.9967346938775511,content_loss,VC,conv5_2
sub01,sub02,6000,0.3439197488121422,0.3491007478304127,0.9987755102040816,content_loss,VC,conv5_1
sub01,sub02,6000,0.2813807626694759,0.27232940837473507,0.9967346938775511,content_loss,VC,conv4_4
sub01,sub02,6000,0.27531737328666905,0.28335609662292993,0.9987755102040816,content_loss,VC,conv4_3
sub01,sub02,6000,0.3105173180781247,0.3289845347750891,0.9971428571428572,content_loss,VC,conv4_2
sub01,sub02,6000,0.3334725654454501,0.3501642212064674,0.9971428571428572,content_loss,VC,conv4_1
sub01,sub02,6000,0.25603509581124234,0.2657519722037378,0.9751020408163265,content_loss,VC,conv3_4
sub01,sub02,6000,0.28404758725206,0.2839114012257262,0.9832653061224491,content_loss,VC,conv3_3
sub01,sub02,6000,0.2236687572082527,0.23716147103771992,0.989795918367347,content_loss,VC,conv3_2
sub01,sub02,6000,0.1996971353085447,0.2146863751577635,0.9616326530612246,content_loss,VC,conv3_1
sub01,sub02,6000,0.11551377884148094,0.13220634287588898,0.9261224489795917,content_loss,VC,conv2_2
sub01,sub02,6000,0.19551155996067718,0.21386304024993252,0.9159183673469387,content_loss,VC,conv2_1
sub01,sub02,6000,0.1777582818792112,0.19920201800158663,0.7677551020408163,content_loss,VC,conv1_2
sub01,sub02,6000,0.20992256802053316,0.23137273013446016,0.8118367346938775,content_loss,VC,conv1_1
sub01,sub03,6000,0.505283940748374,0.512228937055681,0.9436734693877551,content_loss,VC,fc8
sub01,sub03,6000,0.34673750385608865,0.3683888743011143,0.9746938775510203,content_loss,VC,fc7
sub01,sub03,6000,0.3817322167980618,0.37496833206888963,0.9808163265306122,content_loss,VC,fc6
sub01,sub03,6000,0.334755628281073,0.2986874690516231,0.9893877551020408,content_loss,VC,conv5_4
sub01,sub03,6000,0.3440807420369678,0.3403678003877513,0.9951020408163265,content_loss,VC,conv5_3
sub01,sub03,6000,0.3515446973503275,0.35371840619117534,0.9963265306122449,content_loss,VC,conv5_2
sub01,sub03,6000,0.3466487302989547,0.35202990456385685,0.9991836734693877,content_loss,VC,conv5_1
sub01,sub03,6000,0.28333491956827705,0.2750337842112,0.9959183673469388,content_loss,VC,conv4_4
sub01,sub03,6000,0.27779463789635,0.2866957814723218,0.9987755102040816,content_loss,VC,conv4_3
sub01,sub03,6000,0.3118233173167535,0.3312606696051967,0.9967346938775511,content_loss,VC,conv4_2
sub01,sub03,6000,0.3350926085216827,0.35236234563788993,0.9967346938775511,content_loss,VC,conv4_1
sub01,sub03,6000,0.2569660811469745,0.2666252857266489,0.9771428571428572,content_loss,VC,conv3_4
sub01,sub03,6000,0.28489096743168557,0.2851309779914157,0.9832653061224491,content_loss,VC,conv3_3
sub01,sub03,6000,0.22498319274172535,0.2392475800919529,0.9893877551020408,content_loss,VC,conv3_2
sub01,sub03,6000,0.20057169591743115,0.21598445278394318,0.9604081632653062,content_loss,VC,conv3_1
sub01,sub03,6000,0.11620825464709941,0.13285575829170407,0.9236734693877551,content_loss,VC,conv2_2
sub01,sub03,6000,0.1952085680078659,0.21356076161911747,0.9073469387755101,content_loss,VC,conv2_1
sub01,sub03,6000,0.17617579629251368,0.1965464792251413,0.7636734693877549,content_loss,VC,conv1_2
sub01,sub03,6000,0.20679418470863764,0.2280071213197901,0.8130612244897959,content_loss,VC,conv1_1
sub01,sub04,6000,0.5094283700930334,0.5164983104057475,0.950204081632653,content_loss,VC,fc8
sub01,sub04,6000,0.34283411885292286,0.36779025938358845,0.9755102040816327,content_loss,VC,fc7
sub01,sub04,6000,0.3787695757225631,0.37464074696375654,0.9779591836734692,content_loss,VC,fc6
sub01,sub04,6000,0.33875417657127566,0.29680819929082436,0.9848979591836734,content_loss,VC,conv5_4
sub01,sub04,6000,0.344845958004205,0.3392179499113592,0.9951020408163265,content_loss,VC,conv5_3
sub01,sub04,6000,0.352878660543871,0.35409510244796266,0.9955102040816327,content_loss,VC,conv5_2
