Subject,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub01,6000,0.4750205832132466,0.476853832978476,0.8575510204081631,within,VC,fc8
sub02,6000,0.48006712562430914,0.47811894067822425,0.8722448979591837,within,VC,fc8
sub03,6000,0.5031256881062226,0.5077874019064512,0.8914285714285716,within,VC,fc8
sub04,6000,0.4857936081640988,0.4891891515820347,0.8114285714285714,within,VC,fc8
sub05,6000,0.46594446318649024,0.4631611668392223,0.8036734693877553,within,VC,fc8
sub01,6000,0.30554098119825934,0.32565106375203406,0.949795918367347,within,VC,fc7
sub02,6000,0.3077419566265565,0.32932748267883744,0.9551020408163265,within,VC,fc7
sub03,6000,0.33533336479528736,0.35424107601917093,0.9616326530612244,within,VC,fc7
sub04,6000,0.3127939696564188,0.33164756229278824,0.9453061224489795,within,VC,fc7
sub05,6000,0.30270686570040184,0.31488944573380256,0.9310204081632654,within,VC,fc7
sub01,6000,0.3401385306530842,0.3360017326778679,0.9510204081632652,within,VC,fc6
sub02,6000,0.3377942490048577,0.336660325987904,0.9542857142857143,within,VC,fc6
sub03,6000,0.35587758120600954,0.35745119314555784,0.9526530612244898,within,VC,fc6
sub04,6000,0.34138129574374765,0.3371105377975747,0.9399999999999998,within,VC,fc6
sub05,6000,0.3316798518753025,0.3208182809625185,0.9273469387755102,within,VC,fc6
sub01,6000,0.3234904662845832,0.28476199736062785,0.9628571428571427,within,VC,conv5_4
sub02,6000,0.30599985667959406,0.27453054967771695,0.9567346938775511,within,VC,conv5_4
sub03,6000,0.3209214070271006,0.2813578824077715,0.9583673469387755,within,VC,conv5_4
sub04,6000,0.30769412422272674,0.27357375159859865,0.9387755102040818,within,VC,conv5_4
sub05,6000,0.2755462205593792,0.23319714805536285,0.8763265306122449,within,VC,conv5_4
sub01,6000,0.3361565615682406,0.3354616627357537,0.9942857142857143,within,VC,conv5_3
sub02,6000,0.31707414901287584,0.31799228554362935,0.9857142857142857,within,VC,conv5_3
sub03,6000,0.3288584698607281,0.3258861407553364,0.9857142857142857,within,VC,conv5_3
sub04,6000,0.32507152481110724,0.3224915174746391,0.9861224489795917,within,VC,conv5_3
sub05,6000,0.2725127356588561,0.26970913882448005,0.9408163265306122,within,VC,conv5_3
sub01,6000,0.35042025180177166,0.35881304393809493,0.9951020408163265,within,VC,conv5_2
sub02,6000,0.3330598669311743,0.34040696983218205,0.9791836734693878,within,VC,conv5_2
sub03,6000,0.3391346844378215,0.3455387667143432,0.9824489795918367,within,VC,conv5_2
sub04,6000,0.34051987900747605,0.34821753893451396,0.9836734693877551,within,VC,conv5_2
sub05,6000,0.2806627447098101,0.28574931970659123,0.930204081632653,within,VC,conv5_2
sub01,6000,0.3532245795924666,0.36438078290702486,0.9987755102040816,within,VC,conv5_1
sub02,6000,0.3359673121112946,0.34656589542288485,0.9877551020408163,within,VC,conv5_1
sub03,6000,0.3377954789770395,0.34855194592274147,0.990204081632653,within,VC,conv5_1
sub04,6000,0.3482569996266854,0.35858203904987573,0.9914285714285714,within,VC,conv5_1
sub05,6000,0.28246500298556687,0.2881237247356286,0.9583673469387753,within,VC,conv5_1
sub01,6000,0.2966122318864966,0.29509330259163924,0.9963265306122449,within,VC,conv4_4
sub02,6000,0.2742449111367602,0.2722696018642689,0.9938775510204083,within,VC,conv4_4
sub03,6000,0.27351453759004696,0.26998975644291473,0.9934693877551021,within,VC,conv4_4
sub04,6000,0.29039949787503244,0.2874694682171838,0.9922448979591836,within,VC,conv4_4
sub05,6000,0.2228722803537361,0.21353922946277457,0.9510204081632654,within,VC,conv4_4
sub01,6000,0.2911676683141422,0.30725628954174306,0.9987755102040816,within,VC,conv4_3
sub02,6000,0.26928742439953735,0.2829038157571325,0.9963265306122449,within,VC,conv4_3
sub03,6000,0.2715680201423048,0.28454633387284844,0.9938775510204081,within,VC,conv4_3
sub04,6000,0.28478294361184153,0.29877993307575473,0.9967346938775511,within,VC,conv4_3
sub05,6000,0.21165713048813642,0.21983706791748506,0.9444897959183675,within,VC,conv4_3
sub01,6000,0.3215594482904222,0.3475289827073674,0.9910204081632653,within,VC,conv4_2
sub02,6000,0.2991857525351998,0.321298417094354,0.9746938775510204,within,VC,conv4_2
sub03,6000,0.3058774329256166,0.32797632989591635,0.9710204081632652,within,VC,conv4_2
sub04,6000,0.3155795857548504,0.3395229227794706,0.9693877551020408,within,VC,conv4_2
sub05,6000,0.24292078791288552,0.26406460049545716,0.8861224489795917,within,VC,conv4_2
sub01,6000,0.342430839145969,0.3639732759719459,0.9857142857142857,within,VC,conv4_1
sub02,6000,0.32123816795702087,0.3399326961362869,0.9702040816326531,within,VC,conv4_1
sub03,6000,0.32738422552789886,0.3467116325116044,0.9722448979591838,within,VC,conv4_1
sub04,6000,0.3358463106810314,0.35607484373179377,0.9673469387755101,within,VC,conv4_1
sub05,6000,0.2628403050931407,0.2828724914753877,0.8914285714285713,within,VC,conv4_1
sub01,6000,0.2555115917266205,0.26809816268422354,0.9522448979591838,within,VC,conv3_4
sub02,6000,0.23731655437935015,0.2469971745072033,0.9383673469387755,within,VC,conv3_4
sub03,6000,0.2486039519053119,0.25858682016983714,0.9330612244897958,within,VC,conv3_4
sub04,6000,0.2503095675465544,0.2585158835955496,0.9306122448979594,within,VC,conv3_4
sub05,6000,0.1908150403834593,0.1960281327593952,0.8395918367346938,within,VC,conv3_4
sub01,6000,0.28312345252964216,0.28633447546742197,0.9530612244897959,within,VC,conv3_3
sub02,6000,0.26285284182766605,0.26407771690943327,0.9355102040816327,within,VC,conv3_3
sub03,6000,0.271533254753064,0.27386008237985704,0.9326530612244898,within,VC,conv3_3
sub04,6000,0.27764753804220493,0.27931105210217655,0.9338775510204083,within,VC,conv3_3
sub05,6000,0.21681588695207674,0.21685800799346475,0.8420408163265306,within,VC,conv3_3
sub01,6000,0.22093581610648316,0.23887354418511525,0.9726530612244898,within,VC,conv3_2
sub02,6000,0.2049452256893051,0.2164864462942989,0.9493877551020408,within,VC,conv3_2
sub03,6000,0.21330582044533536,0.2263769182930705,0.9453061224489795,within,VC,conv3_2
sub04,6000,0.21512377280888115,0.23040571245405458,0.9469387755102042,within,VC,conv3_2
sub05,6000,0.16111020632127707,0.17356962651063665,0.8330612244897959,within,VC,conv3_2
sub01,6000,0.19466896536943504,0.21435292845728093,0.8416326530612246,within,VC,conv3_1
sub02,6000,0.18197734251400915,0.1932842108643671,0.8093877551020409,within,VC,conv3_1
sub03,6000,0.1901120013206318,0.205333588928663,0.8077551020408165,within,VC,conv3_1
sub04,6000,0.188638932347061,0.20452074905541703,0.7897959183673471,within,VC,conv3_1
sub05,6000,0.1404933487593898,0.15200079507978967,0.6861224489795918,within,VC,conv3_1
sub01,6000,0.10892450774163141,0.1256577046383645,0.8465306122448979,within,VC,conv2_2
sub02,6000,0.09786508687979206,0.10603891282541317,0.8183673469387754,within,VC,conv2_2
sub03,6000,0.1051396690563606,0.11698382378494715,0.8159183673469387,within,VC,conv2_2
sub04,6000,0.10402060642119433,0.11474046685776625,0.816326530612245,within,VC,conv2_2
sub05,6000,0.07376209104152906,0.08081837048606952,0.7053061224489795,within,VC,conv2_2
sub01,6000,0.18067479883970258,0.20015891818197148,0.7893877551020408,within,VC,conv2_1
sub02,6000,0.1713336187582629,0.18287004448046956,0.7689795918367346,within,VC,conv2_1
sub03,6000,0.17738995538254645,0.19099984028701825,0.7546938775510204,within,VC,conv2_1
sub04,6000,0.17274035442678132,0.18713044467455486,0.7489795918367348,within,VC,conv2_1
sub05,6000,0.13095458561758197,0.1403965857667322,0.6636734693877551,within,VC,conv2_1
sub01,6000,0.15221106882193677,0.17526844143379172,0.6248979591836735,within,VC,conv1_2
sub02,6000,0.1563966883519476,0.1717088989024294,0.6395918367346939,within,VC,conv1_2
sub03,6000,0.1557004232964224,0.17193299899126807,0.619591836734694,within,VC,conv1_2
sub04,6000,0.14103577376223375,0.15340106036731163,0.5942857142857142,within,VC,conv1_2
sub05,6000,0.11661628692392392,0.12339816702891829,0.5657142857142857,within,VC,conv1_2
sub01,6000,0.16750055849594989,0.20212550721047798,0.793469387755102,within,VC,conv1_1
sub02,6000,0.1833285246237228,0.20165887937971178,0.803673469387755,within,VC,conv1_1
sub03,6000,0.18240838956882113,0.20528716035938394,0.7930612244897958,within,VC,conv1_1
sub04,6000,0.14805670640934215,0.16861214118429138,0.7497959183673469,within,VC,conv1_1
sub05,6000,0.1301187521260633,0.1418937442383614,0.7081632653061224,within,VC,conv1_1
