Source,Target,Number of samples,Identification accuracy,Method,ROI,Layer
sub01,sub02,6000,0.7787755102040816,brain_loss,VC,conv1
sub01,sub02,6000,0.9661224489795919,brain_loss,VC,conv2
sub01,sub02,6000,0.9942857142857143,brain_loss,VC,conv3
sub01,sub02,6000,0.9934693877551021,brain_loss,VC,conv4
sub01,sub02,6000,0.993469387755102,brain_loss,VC,conv5
sub01,sub02,6000,0.9689795918367347,brain_loss,VC,fc6
sub01,sub02,6000,0.9755102040816326,brain_loss,VC,relu6
sub01,sub02,6000,0.9489795918367347,brain_loss,VC,fc7
sub01,sub02,6000,0.9408163265306122,brain_loss,VC,relu7
sub01,sub02,6000,0.9106122448979593,brain_loss,VC,fc8
sub01,sub03,6000,0.7865306122448978,brain_loss,VC,conv1
sub01,sub03,6000,0.9644897959183674,brain_loss,VC,conv2
sub01,sub03,6000,0.9938775510204083,brain_loss,VC,conv3
sub01,sub03,6000,0.9906122448979592,brain_loss,VC,conv4
sub01,sub03,6000,0.989795918367347,brain_loss,VC,conv5
sub01,sub03,6000,0.9677551020408163,brain_loss,VC,fc6
sub01,sub03,6000,0.9689795918367348,brain_loss,VC,relu6
sub01,sub03,6000,0.9522448979591838,brain_loss,VC,fc7
sub01,sub03,6000,0.9473469387755102,brain_loss,VC,relu7
sub01,sub03,6000,0.9265306122448979,brain_loss,VC,fc8
sub01,sub04,6000,0.7612244897959184,brain_loss,VC,conv1
sub01,sub04,6000,0.969795918367347,brain_loss,VC,conv2
sub01,sub04,6000,0.9946938775510205,brain_loss,VC,conv3
sub01,sub04,6000,0.9951020408163265,brain_loss,VC,conv4
sub01,sub04,6000,0.9926530612244897,brain_loss,VC,conv5
sub01,sub04,6000,0.9738775510204082,brain_loss,VC,fc6
sub01,sub04,6000,0.973469387755102,brain_loss,VC,relu6
sub01,sub04,6000,0.9571428571428571,brain_loss,VC,fc7
sub01,sub04,6000,0.9522448979591838,brain_loss,VC,relu7
sub01,sub04,6000,0.9212244897959184,brain_loss,VC,fc8
sub01,sub05,6000,0.7714285714285714,brain_loss,VC,conv1
sub01,sub05,6000,0.9636734693877551,brain_loss,VC,conv2
sub01,sub05,6000,0.9881632653061224,brain_loss,VC,conv3
sub01,sub05,6000,0.9783673469387756,brain_loss,VC,conv4
sub01,sub05,6000,0.9714285714285715,brain_loss,VC,conv5
sub01,sub05,6000,0.949795918367347,brain_loss,VC,fc6
sub01,sub05,6000,0.9477551020408164,brain_loss,VC,relu6
sub01,sub05,6000,0.9285714285714286,brain_loss,VC,fc7
sub01,sub05,6000,0.9285714285714286,brain_loss,VC,relu7
sub01,sub05,6000,0.9122448979591837,brain_loss,VC,fc8
sub02,sub01,6000,0.7885714285714286,brain_loss,VC,conv1
sub02,sub01,6000,0.9628571428571427,brain_loss,VC,conv2
sub02,sub01,6000,0.9861224489795917,brain_loss,VC,conv3
sub02,sub01,6000,0.9848979591836736,brain_loss,VC,conv4
sub02,sub01,6000,0.9848979591836736,brain_loss,VC,conv5
sub02,sub01,6000,0.9608163265306123,brain_loss,VC,fc6
sub02,sub01,6000,0.9530612244897958,brain_loss,VC,relu6
sub02,sub01,6000,0.9465306122448979,brain_loss,VC,fc7
sub02,sub01,6000,0.9469387755102041,brain_loss,VC,relu7
sub02,sub01,6000,0.9314285714285714,brain_loss,VC,fc8
sub02,sub03,6000,0.797142857142857,brain_loss,VC,conv1
sub02,sub03,6000,0.9583673469387755,brain_loss,VC,conv2
sub02,sub03,6000,0.9861224489795917,brain_loss,VC,conv3
sub02,sub03,6000,0.983265306122449,brain_loss,VC,conv4
sub02,sub03,6000,0.9812244897959184,brain_loss,VC,conv5
sub02,sub03,6000,0.9620408163265306,brain_loss,VC,fc6
sub02,sub03,6000,0.9612244897959186,brain_loss,VC,relu6
sub02,sub03,6000,0.9608163265306122,brain_loss,VC,fc7
sub02,sub03,6000,0.9591836734693878,brain_loss,VC,relu7
sub02,sub03,6000,0.9326530612244897,brain_loss,VC,fc8
sub02,sub04,6000,0.7865306122448978,brain_loss,VC,conv1
sub02,sub04,6000,0.9575510204081632,brain_loss,VC,conv2
sub02,sub04,6000,0.9848979591836735,brain_loss,VC,conv3
sub02,sub04,6000,0.9836734693877551,brain_loss,VC,conv4
sub02,sub04,6000,0.9844897959183673,brain_loss,VC,conv5
sub02,sub04,6000,0.9620408163265306,brain_loss,VC,fc6
sub02,sub04,6000,0.9591836734693878,brain_loss,VC,relu6
sub02,sub04,6000,0.9420408163265306,brain_loss,VC,fc7
sub02,sub04,6000,0.94,brain_loss,VC,relu7
sub02,sub04,6000,0.9383673469387755,brain_loss,VC,fc8
sub02,sub05,6000,0.7591836734693878,brain_loss,VC,conv1
sub02,sub05,6000,0.9310204081632653,brain_loss,VC,conv2
sub02,sub05,6000,0.9685714285714284,brain_loss,VC,conv3
sub02,sub05,6000,0.9571428571428572,brain_loss,VC,conv4
sub02,sub05,6000,0.9624489795918367,brain_loss,VC,conv5
sub02,sub05,6000,0.9379591836734694,brain_loss,VC,fc6
sub02,sub05,6000,0.9538775510204082,brain_loss,VC,relu6
sub02,sub05,6000,0.9338775510204081,brain_loss,VC,fc7
sub02,sub05,6000,0.9289795918367347,brain_loss,VC,relu7
sub02,sub05,6000,0.900408163265306,brain_loss,VC,fc8
sub03,sub01,6000,0.7991836734693877,brain_loss,VC,conv1
sub03,sub01,6000,0.9424489795918367,brain_loss,VC,conv2
sub03,sub01,6000,0.9844897959183675,brain_loss,VC,conv3
sub03,sub01,6000,0.9824489795918367,brain_loss,VC,conv4
sub03,sub01,6000,0.9840816326530613,brain_loss,VC,conv5
sub03,sub01,6000,0.9689795918367347,brain_loss,VC,fc6
sub03,sub01,6000,0.9681632653061223,brain_loss,VC,relu6
sub03,sub01,6000,0.9465306122448979,brain_loss,VC,fc7
sub03,sub01,6000,0.9387755102040815,brain_loss,VC,relu7
sub03,sub01,6000,0.9293877551020409,brain_loss,VC,fc8
sub03,sub02,6000,0.7787755102040815,brain_loss,VC,conv1
sub03,sub02,6000,0.937142857142857,brain_loss,VC,conv2
sub03,sub02,6000,0.9914285714285714,brain_loss,VC,conv3
sub03,sub02,6000,0.9861224489795919,brain_loss,VC,conv4
sub03,sub02,6000,0.9820408163265307,brain_loss,VC,conv5
sub03,sub02,6000,0.9738775510204082,brain_loss,VC,fc6
sub03,sub02,6000,0.9746938775510203,brain_loss,VC,relu6
sub03,sub02,6000,0.9632653061224491,brain_loss,VC,fc7
sub03,sub02,6000,0.9612244897959183,brain_loss,VC,relu7
sub03,sub02,6000,0.929795918367347,brain_loss,VC,fc8
sub03,sub04,6000,0.7832653061224489,brain_loss,VC,conv1
sub03,sub04,6000,0.9510204081632652,brain_loss,VC,conv2
sub03,sub04,6000,0.9893877551020408,brain_loss,VC,conv3
sub03,sub04,6000,0.9877551020408163,brain_loss,VC,conv4
sub03,sub04,6000,0.9873469387755103,brain_loss,VC,conv5
sub03,sub04,6000,0.9726530612244898,brain_loss,VC,fc6
sub03,sub04,6000,0.9763265306122448,brain_loss,VC,relu6
sub03,sub04,6000,0.9693877551020407,brain_loss,VC,fc7
sub03,sub04,6000,0.9583673469387755,brain_loss,VC,relu7
sub03,sub04,6000,0.9391836734693878,brain_loss,VC,fc8
sub03,sub05,6000,0.7865306122448978,brain_loss,VC,conv1
sub03,sub05,6000,0.9322448979591837,brain_loss,VC,conv2
sub03,sub05,6000,0.9840816326530611,brain_loss,VC,conv3
sub03,sub05,6000,0.9730612244897959,brain_loss,VC,conv4
sub03,sub05,6000,0.9791836734693878,brain_loss,VC,conv5
sub03,sub05,6000,0.9636734693877551,brain_loss,VC,fc6
sub03,sub05,6000,0.963265306122449,brain_loss,VC,relu6
sub03,sub05,6000,0.9485714285714286,brain_loss,VC,fc7
sub03,sub05,6000,0.943265306122449,brain_loss,VC,relu7
sub03,sub05,6000,0.9134693877551021,brain_loss,VC,fc8
sub04,sub01,6000,0.726938775510204,brain_loss,VC,conv1
sub04,sub01,6000,0.9575510204081632,brain_loss,VC,conv2
sub04,sub01,6000,0.9955102040816327,brain_loss,VC,conv3
sub04,sub01,6000,0.9951020408163265,brain_loss,VC,conv4
sub04,sub01,6000,0.9914285714285715,brain_loss,VC,conv5
sub04,sub01,6000,0.9738775510204082,brain_loss,VC,fc6
sub04,sub01,6000,0.9808163265306122,brain_loss,VC,relu6
sub04,sub01,6000,0.963265306122449,brain_loss,VC,fc7
sub04,sub01,6000,0.9636734693877551,brain_loss,VC,relu7
sub04,sub01,6000,0.9469387755102041,brain_loss,VC,fc8
sub04,sub02,6000,0.7310204081632654,brain_loss,VC,conv1
sub04,sub02,6000,0.9644897959183674,brain_loss,VC,conv2
sub04,sub02,6000,0.9914285714285714,brain_loss,VC,conv3
sub04,sub02,6000,0.9893877551020408,brain_loss,VC,conv4
sub04,sub02,6000,0.986530612244898,brain_loss,VC,conv5
sub04,sub02,6000,0.9693877551020408,brain_loss,VC,fc6
sub04,sub02,6000,0.9714285714285715,brain_loss,VC,relu6
sub04,sub02,6000,0.9571428571428572,brain_loss,VC,fc7
sub04,sub02,6000,0.9546938775510203,brain_loss,VC,relu7
sub04,sub02,6000,0.9257142857142857,brain_loss,VC,fc8
sub04,sub03,6000,0.7616326530612244,brain_loss,VC,conv1
sub04,sub03,6000,0.9587755102040816,brain_loss,VC,conv2
sub04,sub03,6000,0.9938775510204081,brain_loss,VC,conv3
sub04,sub03,6000,0.9885714285714287,brain_loss,VC,conv4
sub04,sub03,6000,0.9885714285714287,brain_loss,VC,conv5
sub04,sub03,6000,0.959591836734694,brain_loss,VC,fc6
sub04,sub03,6000,0.9648979591836735,brain_loss,VC,relu6
sub04,sub03,6000,0.9448979591836735,brain_loss,VC,fc7
sub04,sub03,6000,0.9416326530612245,brain_loss,VC,relu7
sub04,sub03,6000,0.9118367346938776,brain_loss,VC,fc8
sub04,sub05,6000,0.7453061224489796,brain_loss,VC,conv1
sub04,sub05,6000,0.9465306122448979,brain_loss,VC,conv2
sub04,sub05,6000,0.9885714285714287,brain_loss,VC,conv3
sub04,sub05,6000,0.9877551020408163,brain_loss,VC,conv4
sub04,sub05,6000,0.9889795918367347,brain_loss,VC,conv5
sub04,sub05,6000,0.9583673469387755,brain_loss,VC,fc6
sub04,sub05,6000,0.9644897959183674,brain_loss,VC,relu6
sub04,sub05,6000,0.9506122448979591,brain_loss,VC,fc7
sub04,sub05,6000,0.9567346938775511,brain_loss,VC,relu7
sub04,sub05,6000,0.930612244897959,brain_loss,VC,fc8
sub05,sub01,6000,0.7134693877551019,brain_loss,VC,conv1
sub05,sub01,6000,0.9277551020408165,brain_loss,VC,conv2
sub05,sub01,6000,0.9763265306122448,brain_loss,VC,conv3
sub05,sub01,6000,0.9677551020408163,brain_loss,VC,conv4
sub05,sub01,6000,0.9710204081632654,brain_loss,VC,conv5
sub05,sub01,6000,0.9587755102040815,brain_loss,VC,fc6
sub05,sub01,6000,0.9644897959183674,brain_loss,VC,relu6
sub05,sub01,6000,0.9612244897959183,brain_loss,VC,fc7
sub05,sub01,6000,0.9526530612244897,brain_loss,VC,relu7
sub05,sub01,6000,0.9048979591836734,brain_loss,VC,fc8
sub05,sub02,6000,0.7448979591836735,brain_loss,VC,conv1
sub05,sub02,6000,0.9228571428571428,brain_loss,VC,conv2
sub05,sub02,6000,0.9730612244897959,brain_loss,VC,conv3
sub05,sub02,6000,0.9612244897959186,brain_loss,VC,conv4
sub05,sub02,6000,0.9644897959183674,brain_loss,VC,conv5
sub05,sub02,6000,0.9412244897959182,brain_loss,VC,fc6
sub05,sub02,6000,0.9444897959183673,brain_loss,VC,relu6
sub05,sub02,6000,0.9346938775510203,brain_loss,VC,fc7
sub05,sub02,6000,0.9318367346938775,brain_loss,VC,relu7
sub05,sub02,6000,0.9106122448979592,brain_loss,VC,fc8
sub05,sub03,6000,0.7326530612244898,brain_loss,VC,conv1
sub05,sub03,6000,0.9106122448979592,brain_loss,VC,conv2
sub05,sub03,6000,0.975918367346939,brain_loss,VC,conv3
sub05,sub03,6000,0.9685714285714286,brain_loss,VC,conv4
sub05,sub03,6000,0.9738775510204082,brain_loss,VC,conv5
sub05,sub03,6000,0.9526530612244898,brain_loss,VC,fc6
sub05,sub03,6000,0.9644897959183674,brain_loss,VC,relu6
sub05,sub03,6000,0.9591836734693877,brain_loss,VC,fc7
sub05,sub03,6000,0.9575510204081634,brain_loss,VC,relu7
sub05,sub03,6000,0.9293877551020409,brain_loss,VC,fc8
sub05,sub04,6000,0.6730612244897959,brain_loss,VC,conv1
sub05,sub04,6000,0.9257142857142858,brain_loss,VC,conv2
