Source,Target,Number of samples,Identification accuracy,Method,ROI,Layer
sub01,sub02,6000,0.790612244897959,content_loss,VC,conv1
sub01,sub02,6000,0.9820408163265306,content_loss,VC,conv2
sub01,sub02,6000,0.9926530612244897,content_loss,VC,conv3
sub01,sub02,6000,0.9951020408163265,content_loss,VC,conv4
sub01,sub02,6000,0.9955102040816327,content_loss,VC,conv5
sub01,sub02,6000,0.9783673469387755,content_loss,VC,fc6
sub01,sub02,6000,0.9681632653061224,content_loss,VC,relu6
sub01,sub02,6000,0.9461224489795917,content_loss,VC,fc7
sub01,sub02,6000,0.9493877551020407,content_loss,VC,relu7
sub01,sub02,6000,0.9277551020408162,content_loss,VC,fc8
sub01,sub03,6000,0.8028571428571428,content_loss,VC,conv1
sub01,sub03,6000,0.9763265306122448,content_loss,VC,conv2
sub01,sub03,6000,0.993061224489796,content_loss,VC,conv3
sub01,sub03,6000,0.993061224489796,content_loss,VC,conv4
sub01,sub03,6000,0.9934693877551021,content_loss,VC,conv5
sub01,sub03,6000,0.9759183673469387,content_loss,VC,fc6
sub01,sub03,6000,0.9791836734693878,content_loss,VC,relu6
sub01,sub03,6000,0.9587755102040815,content_loss,VC,fc7
sub01,sub03,6000,0.9559183673469387,content_loss,VC,relu7
sub01,sub03,6000,0.949795918367347,content_loss,VC,fc8
sub01,sub04,6000,0.7926530612244898,content_loss,VC,conv1
sub01,sub04,6000,0.9783673469387755,content_loss,VC,conv2
sub01,sub04,6000,0.9922448979591837,content_loss,VC,conv3
sub01,sub04,6000,0.9951020408163265,content_loss,VC,conv4
sub01,sub04,6000,0.9926530612244899,content_loss,VC,conv5
sub01,sub04,6000,0.9763265306122451,content_loss,VC,fc6
sub01,sub04,6000,0.9808163265306122,content_loss,VC,relu6
sub01,sub04,6000,0.9648979591836734,content_loss,VC,fc7
sub01,sub04,6000,0.9604081632653062,content_loss,VC,relu7
sub01,sub04,6000,0.9448979591836735,content_loss,VC,fc8
sub01,sub05,6000,0.7853061224489797,content_loss,VC,conv1
sub01,sub05,6000,0.9759183673469387,content_loss,VC,conv2
sub01,sub05,6000,0.9922448979591836,content_loss,VC,conv3
sub01,sub05,6000,0.9938775510204081,content_loss,VC,conv4
sub01,sub05,6000,0.993469387755102,content_loss,VC,conv5
