Subject,Number of samples,Identification accuracy,Method,ROI,Layer
sub01,6000,0.803265306122449,within,VC,conv1
sub01,6000,0.9844897959183675,within,VC,conv2
sub01,6000,0.9987755102040816,within,VC,conv3
sub01,6000,0.9987755102040816,within,VC,conv4
sub01,6000,0.9967346938775511,within,VC,conv5
sub01,6000,0.9812244897959184,within,VC,fc6
sub01,6000,0.9824489795918366,within,VC,relu6
sub01,6000,0.9730612244897959,within,VC,fc7
sub01,6000,0.9738775510204083,within,VC,relu7
sub01,6000,0.9457142857142855,within,VC,fc8
sub02,6000,0.803265306122449,within,VC,conv1
sub02,6000,0.9881632653061224,within,VC,conv2
sub02,6000,0.9971428571428572,within,VC,conv3
sub02,6000,0.9987755102040816,within,VC,conv4
sub02,6000,0.9959183673469387,within,VC,conv5
sub02,6000,0.9755102040816326,within,VC,fc6
sub02,6000,0.9877551020408164,within,VC,relu6
sub02,6000,0.9693877551020407,within,VC,fc7
sub02,6000,0.9693877551020408,within,VC,relu7
sub02,6000,0.9489795918367346,within,VC,fc8
sub03,6000,0.8338775510204082,within,VC,conv1
sub03,6000,0.9840816326530611,within,VC,conv2
sub03,6000,0.9979591836734695,within,VC,conv3
sub03,6000,0.9983673469387756,within,VC,conv4
sub03,6000,0.9983673469387756,within,VC,conv5
sub03,6000,0.9836734693877551,within,VC,fc6
sub03,6000,0.9910204081632652,within,VC,relu6
sub03,6000,0.9763265306122448,within,VC,fc7
sub03,6000,0.9775510204081634,within,VC,relu7
sub03,6000,0.9518367346938775,within,VC,fc8
sub04,6000,0.8040816326530611,within,VC,conv1
sub04,6000,0.9877551020408164,within,VC,conv2
sub04,6000,0.9979591836734695,within,VC,conv3
sub04,6000,0.9967346938775511,within,VC,conv4
sub04,6000,0.9987755102040816,within,VC,conv5
sub04,6000,0.9877551020408164,within,VC,fc6
sub04,6000,0.9951020408163267,within,VC,relu6
sub04,6000,0.9816326530612245,within,VC,fc7
sub04,6000,0.9751020408163267,within,VC,relu7
sub04,6000,0.9591836734693878,within,VC,fc8
sub05,6000,0.7551020408163264,within,VC,conv1
sub05,6000,0.959591836734694,within,VC,conv2
sub05,6000,0.990204081632653,within,VC,conv3
sub05,6000,0.9853061224489796,within,VC,conv4
sub05,6000,0.9844897959183673,within,VC,conv5
sub05,6000,0.9653061224489795,within,VC,fc6
sub05,6000,0.969795918367347,within,VC,relu6
sub05,6000,0.9542857142857143,within,VC,fc7
sub05,6000,0.950204081632653,within,VC,relu7
sub05,6000,0.9326530612244898,within,VC,fc8
