Source,Target,Number of samples,Identification accuracy,Method,ROI
sub01,sub02,6000,0.7983673469387754,brain_loss,VC
sub01,sub03,6000,0.8155102040816327,brain_loss,VC
sub01,sub04,6000,0.789795918367347,brain_loss,VC
sub01,sub05,6000,0.8171428571428571,brain_loss,VC
sub02,sub01,6000,0.7832653061224489,brain_loss,VC
sub02,sub03,6000,0.7742857142857145,brain_loss,VC
sub02,sub04,6000,0.7995918367346939,brain_loss,VC
sub02,sub05,6000,0.7538775510204081,brain_loss,VC
sub03,sub01,6000,0.7897959183673469,brain_loss,VC
sub03,sub02,6000,0.773877551020408,brain_loss,VC
sub03,sub04,6000,0.7926530612244899,brain_loss,VC
sub03,sub05,6000,0.8130612244897959,brain_loss,VC
sub04,sub01,6000,0.7461224489795917,brain_loss,VC
sub04,sub02,6000,0.8081632653061225,brain_loss,VC
sub04,sub03,6000,0.769795918367347,brain_loss,VC
sub04,sub05,6000,0.7881632653061225,brain_loss,VC
sub05,sub01,6000,0.7338775510204081,brain_loss,VC
sub05,sub02,6000,0.7228571428571429,brain_loss,VC
sub05,sub03,6000,0.7318367346938776,brain_loss,VC
sub05,sub04,6000,0.7159183673469387,brain_loss,VC
